id,1,2,3,4,5,6,7,8,9,10
59,59,3910,3784,345,821,1010,3621,3786,764,3799
138,138,337,764,3784,345,821,1010,193,3621,59
193,193,764,3784,345,821,1010,3621,59,3910,138
337,337,138,764,3784,345,821,1010,193,3621,59
345,345,3784,821,1010,59,3910,3621,764,3786,3799
764,764,3784,345,821,1010,3621,59,3910,138,337
821,821,3784,345,1010,59,3910,3621,764,3786,3799
942,942,1033,215,3896,917,3750,3837,3916,249,3796
1010,1010,3784,345,821,59,3910,3621,764,3786,3799
1033,1033,3796,942,1159,3916,3837,249,3896,917,358
1159,1159,3796,1033,942,3847,193,138,3752,3720,764
3621,3621,59,3910,3784,345,821,1010,3786,764,3835
3720,3720,3752,4012,3788,3796,3903,3772,3934,3865,1159
3752,3752,3720,4012,3788,3796,1159,1033,3986,3976,3903
3784,345,821,1010,3784,59,3910,764,3621,3786,3799
3788,3788,4012,3752,3720,3796,193,1159,1033,2901,3827
3796,3796,1033,1159,942,3559,3841,358,3720,249,3837
3799,3799,223,3910,59,3786,3784,1010,345,821,3835
3847,3847,1159,3621,3914,3870,3913,764,3784,345,821
3865,3934,3772,3865,3903,3559,3841,3720,358,4012,2901
3885,3885,223,4116,4407,4538,4543,4564,4565,4602,4609
3889,3889,223,4116,4407,4538,4543,4564,4565,4602,4609
3899,3899,223,4116,4407,4538,4543,4564,4565,4602,4609
3913,3914,3870,3913,2034,3847,3750,3896,1712,3747,917
3918,3918,223,4116,4407,4538,4543,4564,4565,4602,4609
3926,3926,223,4116,4407,4538,4543,4564,4565,4602,4609
3961,3961,223,4116,4407,4538,4543,4564,4565,4602,4609
3973,3973,223,4116,4407,4538,4543,4564,4565,4602,4609
3990,3990,223,4116,4407,4538,4543,4564,4565,4602,4609
3991,3991,4116,4383,4407,4538,4543,4564,4565,4602,4609
4012,4012,3720,3752,3788,3796,3903,3772,3934,3865,1159
29,4019,4015,5886,3976,3986,4013,58,157,29,138
27,27,223,4116,4407,4538,4543,4564,4565,4602,4609
215,3896,917,215,3750,3916,249,3837,2034,3559,358
247,247,223,4116,4407,4538,4543,4564,4565,4602,4609
335,335,223,4116,4407,4538,4543,4564,4565,4602,4609
409,409,223,4116,4407,4538,4543,4564,4565,4602,4609
485,485,223,4116,4407,4538,4543,4564,4565,4602,4609
717,717,223,4116,4407,4538,4543,4564,4565,4602,4609
832,832,223,4116,4407,4538,4543,4564,4565,4602,4609
917,3896,917,215,3750,3916,249,3837,2034,3559,358
945,945,223,4116,4407,4538,4543,4564,4565,4602,4609
1238,1238,223,4116,4407,4538,4543,4564,4565,4602,4609
1425,1425,223,4116,4407,4538,4543,4564,4565,4602,4609
2001,2001,223,4116,4407,4538,4543,4564,4565,4602,4609
1991,1991,223,4407,4538,4543,4564,4565,4602,4609,4622
2028,2028,4146,4407,4538,4543,4564,4565,4602,4609,4622
2034,2034,3750,215,3896,917,3916,3837,249,942,358
2247,2247,223,4146,4407,4538,4543,4564,4565,4602,4609
3360,3360,223,4146,4407,4538,4543,4564,4565,4602,4609
3483,3483,223,4146,4407,4538,4543,4564,4565,4602,4609
3650,3650,223,4146,4407,4538,4543,4564,4565,4602,4609
3750,3750,215,917,3896,2034,249,3837,3916,358,3841
3755,3755,223,4146,4407,4538,4543,4564,4565,4602,4609
3766,3766,223,4146,4407,4538,4543,4564,4565,4602,4609
3769,3769,223,4146,4407,4538,4543,4564,4565,4602,4609
3772,3934,3772,3865,3903,3559,3841,3720,358,4012,2901
3811,3811,223,4146,4407,4538,4543,4564,4565,4602,4609
3827,3827,2901,3806,3903,3788,3772,3865,3934,4012,2425
3835,3835,223,3786,3910,59,45,1712,3908,3747,3621
3837,3837,3916,249,917,215,3559,3896,3841,358,3750
3841,3841,358,3559,3916,3837,249,215,3896,917,3750
3870,3914,3870,3913,2034,3847,3750,3896,1712,3747,917
3903,3934,3772,3865,3903,3559,3841,3720,358,4012,2901
3914,3914,3870,3913,2034,3847,3750,3896,1712,3747,917
3919,3919,223,4146,4407,4538,4543,4564,4565,4602,4609
3939,3939,223,4146,4407,4538,4543,4564,4565,4602,4609
3952,3952,223,4146,4407,4538,4543,4564,4565,4602,4609
3976,4019,4015,5886,3976,3986,4013,58,157,29,138
45,45,3908,2425,1712,3747,3835,223,3786,3799,3910
63,63,223,4146,4407,4538,4543,4564,4565,4602,4609
80,80,223,4146,4407,4538,4543,4564,4565,4602,4609
184,184,223,4146,4407,4538,4543,4564,4565,4602,4609
249,249,3837,3916,917,215,3559,3896,3841,358,3750
414,414,223,4146,4407,4538,4543,4564,4565,4602,4609
481,481,223,4146,4407,4538,4543,4564,4565,4602,4609
1020,1020,4146,4407,4538,4543,4564,4565,4602,4609,4622
1258,1258,223,4407,4538,4543,4564,4565,4602,4609,4622
1805,1805,223,4116,4407,4538,4543,4564,4565,4602,4609
2181,2181,223,4116,4407,4538,4543,4564,4565,4602,4609
2295,2295,223,4116,4407,4538,4543,4564,4565,4602,4609
2368,2368,223,4116,4407,4538,4543,4564,4565,4602,4609
2901,2901,3827,3806,3903,3788,3772,3865,3934,4012,2425
3102,3102,223,4116,4407,4538,4543,4564,4565,4602,4609
3352,3352,223,4116,4407,4538,4543,4564,4565,4602,4609
3559,3841,358,3559,3916,3837,249,215,3896,917,3750
3764,3764,223,4116,4407,4538,4543,4564,4565,4602,4609
3776,3776,223,4116,4407,4538,4543,4564,4565,4602,4609
3801,3801,223,4116,4407,4538,4543,4564,4565,4602,4609
3806,3806,3827,2901,3788,2425,3903,3934,3865,3772,45
3812,3812,223,4116,4407,4538,4543,4564,4565,4602,4609
